,token,valid,no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,score
0,2a2dc7fa004952bb,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,10f1519622fb557e,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,f839f8d2874c5268,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
3,1a76367220495a43,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,17f8c53191765031,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,54e89a77ee135c04,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
6,6c8d443a20da50db,True,1.0,1.0,0.7426951427073649,1.0,1.0,1.0,0.8927896427947354
7,506df6f5f2c35944,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
8,9a5420ab54295c1f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,b101cf0ddd475e3d,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
10,8111edd783655ec5,True,1.0,1.0,0.6410512472478705,1.0,1.0,1.0,0.8504380196866128
11,71a3391d74045a10,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,d3d4ab678d335a44,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
13,ab0473e852235c3a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,02e78191bf845092,True,1.0,1.0,0.818102663485163,1.0,1.0,1.0,0.9242094431188179
15,9bc4c16fd9db56ff,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,588d51c738d551d0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,31f1c6fc84cd5d9c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,100e1f418c6156a2,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
19,0f7b2eac06fb583b,True,1.0,1.0,0.702312679958424,1.0,1.0,1.0,0.8759636166493433
20,47e15d0bf9795210,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,ca9e7281adce5212,True,1.0,1.0,0.7059830454333333,1.0,1.0,1.0,0.8774929355972222
22,d33b915d4e1b5c29,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
23,7c70365a01645f16,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
24,1128ab6e43675ebb,True,1.0,1.0,0.8094520131739237,1.0,1.0,1.0,0.9206050054891349
25,16f658e44f615c4d,True,1.0,1.0,0.7732812479122236,1.0,1.0,1.0,0.90553385329676
26,0979d00e06e75df7,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
27,3a153391e4a358d9,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,bdcc70c45a095f1c,True,1.0,1.0,0.4764108142918251,1.0,1.0,1.0,0.7818378392882604
29,d998f63bce8a512e,True,1.0,1.0,0.931108283082749,0.0,1.0,1.0,0.5546284512844787
30,1fdb499ee06d5afe,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,f0ac2804298b564f,True,1.0,1.0,0.6491523782047214,1.0,1.0,1.0,0.8538134909186339
32,aea085dd82275daf,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
33,e5f8dfb583be51bf,True,1.0,1.0,0.7162488364094615,1.0,1.0,1.0,0.8817703485039422
34,159d4fb387015d29,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
35,91ce5224c5315c73,True,1.0,1.0,0.777665706369321,1.0,1.0,1.0,0.9073607109872172
36,c0ee4f794af35185,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
37,83f2abebb7775f3e,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
38,ab24fa43b3d95568,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,7cce486251cc5774,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
40,239a36414ce551de,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
41,df51e1fc27e254b6,True,1.0,1.0,0.9614611832131921,1.0,1.0,1.0,0.9839421596721634
42,99551be60459573c,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
43,d19a23f6a5385fa0,True,1.0,1.0,0.6508825632083783,1.0,1.0,1.0,0.8545344013368243
44,08f8db733c8a5384,True,1.0,1.0,0.7520377555953516,1.0,1.0,1.0,0.8966823981647298
45,e36a86d0bbdb56d1,True,1.0,1.0,0.4844302367977598,1.0,1.0,1.0,0.7851792653323999
46,0cc018e52b5553c8,True,1.0,1.0,0.7171178281595707,1.0,1.0,1.0,0.8821324283998212
47,28d60c4ce7af52cb,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
48,a4e743d34ef058c5,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,699be6da6ef255c6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,803569f800575929,True,1.0,1.0,0.9425657671051181,0.0,1.0,1.0,0.5594024029604658
51,34df25d21e8b5715,True,1.0,1.0,0.8125484288255439,1.0,1.0,1.0,0.92189517867731
52,0a582aacb7e8549e,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,cc74fd0beab35567,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
54,28d4e8d52f6959fa,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55,4fd0254ab4115427,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
56,fe4adf695f83508a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,3284cd057b4e5c4c,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
58,3a61d7ced3ca590d,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
59,3b33d44fb39a530b,True,1.0,1.0,0.6572318236649777,1.0,1.0,1.0,0.8571799265270741
60,1c922a7f96245491,True,1.0,1.0,0.9651275789986844,1.0,1.0,0.5,0.9854698245827852
61,463b77413b1f5db6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
62,9b3dea7c20c75987,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
63,eff101b2b3ea514d,True,1.0,1.0,0.926810468115736,1.0,1.0,1.0,0.9695043617148901
64,c59249f6dc3d5956,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65,56df00e642b45ea5,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
66,aa96f52b95b155e7,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
67,7be91f052cec5ed4,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
68,6fe976540ad75957,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
69,2aad3418f5ef515b,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
70,c89573b25c8d57ac,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
71,d890673e042a5399,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
72,201be20f235e537c,True,1.0,1.0,0.8225974940849707,1.0,1.0,1.0,0.9260822892020711
73,edd3855723a15baa,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
74,d38905854e5f55a3,True,1.0,1.0,0.6502572980434078,1.0,1.0,1.0,0.8542738741847532
75,058e86bcd61a50f9,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
76,28bd4bc16c6c59ba,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
77,734d1c50b9ec5327,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
78,0c0203540b165628,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
79,9438eab530575244,True,1.0,1.0,0.9053116987209875,1.0,1.0,1.0,0.9605465411337448
80,9352f44f6db657df,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
81,3abe90ea4f655478,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
82,61c8cb492eaf56da,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
83,a68ae46331e55394,True,1.0,1.0,0.8365062175142142,0.0,0.0,1.0,0.34854425729758926
84,92b7fb405f2f5ccf,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
85,f8055a08fd195ca3,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
86,4a6d03cb04695889,True,1.0,1.0,0.46826290495948103,1.0,1.0,1.0,0.7784428770664503
87,82615fcbb4d75b53,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
88,aa1a71ec906c5f59,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
89,03cf8e8ed0915fe1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
90,784c025d66de5ceb,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
91,9f576445d12a5b52,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
92,b367643a70e250b9,True,1.0,1.0,0.7021026496349922,1.0,1.0,1.0,0.87587610401458
