nohup: ignoring input
Loading agent...
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:00<00:00,  1.53it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:01<00:00,  2.01it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:01<00:00,  1.92it/s]
Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.48, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
The new embeddings will be initialized from a multivariate normal distribution that has old embeddings' mean and covariance. As described in this article: https://nlp.stanford.edu/~johnhew/vocab-expansion.html. To disable this, use `mean_resizing=False`
/home/xzh5180/miniconda3/envs/navsim_eval/lib/python3.9/site-packages/transformers/generation/configuration_utils.py:629: UserWarning: `do_sample` is set to `False`. However, `temperature` is set to `1e-06` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `temperature`.
  warnings.warn(
Loaded 138 scenes from /home/xzh5180/Research/vla-av/datasets/navsim_mini_subset/autovla_json_input
[1/138] 0110efb6cf705692 done in 17.5s | stated=(None, None) | traj=(move forward, quick acceleration) | no_decision=True
[2/138] 02e78191bf845092 done in 17.5s | stated=(None, stop) | traj=(change lane to left, acceleration) | no_decision=False
[3/138] 03cf8e8ed0915fe1 done in 15.9s | stated=(move forward, deceleration to zero) | traj=(move forward, quick acceleration) | no_decision=False
[4/138] 058e86bcd61a50f9 done in 17.9s | stated=(turn left, acceleration) | traj=(turn left, acceleration) | no_decision=False
[5/138] 08f8db733c8a5384 done in 17.6s | stated=(move forward, maintain constant speed) | traj=(change lane to right, maintain constant speed) | no_decision=False
[6/138] 0979d00e06e75df7 done in 18.7s | stated=(turn left, deceleration) | traj=(turn left, maintain constant speed) | no_decision=False
[7/138] 0a582aacb7e8549e done in 17.6s | stated=(move forward, stop) | traj=(move forward, acceleration) | no_decision=False
[8/138] 0b5abd8495525a60 done in 12.2s | stated=(None, None) | traj=(move forward, quick acceleration) | no_decision=True
[9/138] 0c0203540b165628 done in 17.2s | stated=(turn right, deceleration) | traj=(turn left, maintain constant speed) | no_decision=False
[10/138] 0cc018e52b5553c8 done in 19.1s | stated=(move forward, maintain constant speed) | traj=(move forward, maintain constant speed) | no_decision=False
[11/138] 0f7b2eac06fb583b done in 23.0s | stated=(turn right, deceleration) | traj=(change lane to right, maintain constant speed) | no_decision=False
[12/138] 100e1f418c6156a2 done in 16.4s | stated=(turn left, deceleration) | traj=(turn left, maintain constant speed) | no_decision=False
[13/138] 10f1519622fb557e done in 28.1s | stated=(None, None) | traj=(move forward, maintain constant speed) | no_decision=True
[14/138] 1128ab6e43675ebb done in 17.6s | stated=(move forward, maintain constant speed) | traj=(move forward, quick acceleration) | no_decision=False
[15/138] 159d4fb387015d29 done in 20.6s | stated=(None, deceleration to zero) | traj=(move forward, quick acceleration) | no_decision=False
[16/138] 16f658e44f615c4d done in 17.6s | stated=(move forward, maintain constant speed) | traj=(change lane to right, acceleration) | no_decision=False
[17/138] 17f8c53191765031 done in 18.2s | stated=(move forward, stop) | traj=(move forward, quick acceleration) | no_decision=False
[18/138] 182af302b08b5c94 done in 19.3s | stated=(move forward, maintain constant speed) | traj=(move forward, quick acceleration) | no_decision=False
[19/138] 1906410e9fea5257 done in 18.9s | stated=(move forward, deceleration to zero) | traj=(move forward, quick acceleration) | no_decision=False
[20/138] 1a76367220495a43 done in 28.2s | stated=(None, None) | traj=(move forward, maintain constant speed) | no_decision=True
[21/138] 1c922a7f96245491 done in 17.8s | stated=(turn right, deceleration) | traj=(change lane to left, deceleration) | no_decision=False
[22/138] 1fdb499ee06d5afe done in 20.8s | stated=(None, None) | traj=(move forward, quick acceleration) | no_decision=True
[23/138] 201be20f235e537c done in 23.3s | stated=(move forward, deceleration) | traj=(move forward, quick deceleration) | no_decision=False
[24/138] 203d0a6cad805900 done in 20.9s | stated=(move forward, deceleration to zero) | traj=(move forward, quick acceleration) | no_decision=False
[25/138] 239a36414ce551de done in 18.2s | stated=(move forward, maintain constant speed) | traj=(change lane to left, maintain constant speed) | no_decision=False
[26/138] 27068d25a6ec5544 done in 24.8s | stated=(move forward, maintain constant speed) | traj=(move forward, quick acceleration) | no_decision=False
[27/138] 28bd4bc16c6c59ba done in 19.9s | stated=(move forward, deceleration to zero) | traj=(move forward, quick acceleration) | no_decision=False
[28/138] 28d4e8d52f6959fa done in 23.4s | stated=(move forward, deceleration to zero) | traj=(move forward, quick acceleration) | no_decision=False
[29/138] 28d60c4ce7af52cb done in 18.9s | stated=(turn right, deceleration) | traj=(turn right, maintain constant speed) | no_decision=False
[30/138] 2a2dc7fa004952bb done in 18.3s | stated=(move forward, maintain constant speed) | traj=(move forward, deceleration to zero) | no_decision=False
[31/138] 2a56e59564ab5860 done in 28.1s | stated=(None, None) | traj=(move forward, quick acceleration) | no_decision=True
[32/138] 2aad3418f5ef515b done in 14.7s | stated=(turn right, maintain constant speed) | traj=(turn right, maintain constant speed) | no_decision=False
[33/138] 3010009fcb295507 done in 19.8s | stated=(move forward, deceleration) | traj=(move forward, deceleration to zero) | no_decision=False
[34/138] 31f1c6fc84cd5d9c done in 19.1s | stated=(move forward, deceleration to zero) | traj=(move forward, quick acceleration) | no_decision=False
[35/138] 3284cd057b4e5c4c done in 20.2s | stated=(move forward, maintain constant speed) | traj=(move forward, quick acceleration) | no_decision=False
[36/138] 34369dd45b885ef6 done in 26.1s | stated=(move forward, acceleration) | traj=(move forward, acceleration) | no_decision=False
[37/138] 34df25d21e8b5715 done in 19.3s | stated=(move forward, maintain constant speed) | traj=(change lane to right, maintain constant speed) | no_decision=False
[38/138] 3a153391e4a358d9 done in 18.8s | stated=(turn right, deceleration) | traj=(move forward, acceleration) | no_decision=False
[39/138] 3a61d7ced3ca590d done in 17.5s | stated=(move forward, stop) | traj=(move forward, quick acceleration) | no_decision=False
[40/138] 3abe90ea4f655478 done in 28.2s | stated=(None, None) | traj=(turn left, stop) | no_decision=True
